 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
1880000, 8.351, 37.509, 5.011,   0.985,    0.470,   0.000, 8.351, 1000000000.000, 0.134, 1.000, 4.492 
1890000, 8.402, 37.737, 5.011,   0.985,    0.476,   0.000, 8.402, 1000000000.000, 0.133, 1.000, 4.492 
1900000, 8.446, 37.935, 5.010,   0.985,    0.482,   0.000, 8.446, 1000000000.000, 0.132, 1.000, 4.491 
1910000, 8.484, 38.083, 5.012,   0.985,    0.486,   0.000, 8.479, 1000000000.000, 0.132, 0.999, 4.491 
1920000, 8.478, 38.078, 5.011,   0.985,    0.486,   0.000, 8.478, 1000000000.000, 0.132, 1.000, 4.491 
1930000, 8.485, 38.106, 5.011,   0.986,    0.486,   0.000, 8.484, 1000000000.000, 0.131, 1.000, 4.491 
1940000, 8.550, 38.399, 5.011,   0.986,    0.495,   0.000, 8.549, 1000000000.000, 0.130, 1.000, 4.491 
1950000, 8.552, 38.405, 5.012,   0.986,    0.495,   0.000, 8.552, 1000000000.000, 0.130, 1.000, 4.491 
1960000, 8.587, 38.565, 5.011,   0.986,    0.499,   0.000, 8.587, 1000000000.000, 0.130, 1.000, 4.491 
1970000, 8.610, 38.668, 5.010,   0.986,    0.502,   0.000, 8.609, 1000000000.000, 0.130, 1.000, 4.491 
1980000, 8.592, 38.590, 5.011,   0.986,    0.500,   0.000, 8.592, 1000000000.000, 0.130, 1.000, 4.492 
1990000, 8.621, 38.719, 5.020,   0.986,    0.502,   0.000, 8.621, 1000000000.000, 0.130, 1.000, 4.491 
2000000, 8.646, 38.826, 5.011,   0.986,    0.506,   0.000, 8.646, 1000000000.000, 0.129, 1.000, 4.491 
2010000, 8.739, 39.251, 5.011,   0.986,    0.516,   0.000, 8.739, 1000000000.000, 0.128, 1.000, 4.491 
2020000, 8.747, 39.280, 5.010,   0.986,    0.515,   0.000, 8.747, 1000000000.000, 0.128, 1.000, 4.491 
2040000, 8.753, 39.308, 5.011,   0.986,    0.516,   0.000, 8.753, 1000000000.000, 0.127, 1.000, 4.491 
2030000, 8.761, 39.346, 5.011,   0.986,    0.518,   0.000, 8.760, 1000000000.000, 0.127, 1.000, 4.491 
2060000, 8.776, 39.417, 5.011,   0.987,    0.519,   0.000, 8.776, 1000000000.000, 0.127, 1.000, 4.491 
2050000, 8.793, 39.490, 5.011,   0.986,    0.522,   0.000, 8.792, 1000000000.000, 0.127, 1.000, 4.491 
