config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 1.536, 2836.450, 933.980,  22.366,   11.927,  12.059, 558.416, 2750000.000, 0.329, 1.000, 5.079 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 1.305, 646.794, 719.525,   6.790,    1.732,   4.183, 130.479, 10000000.000, 1.112, 1.000, 4.957 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 1.887, 3551.890, 1106.994,  26.397,   14.597,  11.736, 686.218, 2750000.000, 0.312, 1.000, 5.176 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 1.371, 692.001, 731.639,   7.501,    2.243,   3.766, 137.125, 10000000.000, 1.057, 1.000, 5.047 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_e_init,            0,      1,             20,  1.500000, 0.858, 1622.733, 833.171,  15.150,    6.517,   8.243, 311.949, 2750000.000, 0.513, 1.000, 5.202 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_e,            0,      1,             20,  1.500000, 2.214, 1123.900, 2251.381,   8.385,    1.776,   4.785, 221.348, 10000000.000, 2.003, 1.000, 5.078 
     prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 2.162, 4062.239, 1401.459,  30.085,   15.421,  11.846, 786.326, 2750000.000, 0.345, 1.000, 5.166 
     prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 1.774, 897.764, 1199.044,   9.736,    2.626,   4.416, 177.442, 10000000.000, 1.336, 1.000, 5.059 
   baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 4.154, 6969.480, 1466.846, 114.217,   70.700,  12.973, 1381.149, 3000000.000, 0.210, 0.997, 5.046 
   baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 1.605, 793.038, 1001.758,  15.600,    2.642,   2.093, 160.093, 10000000.000, 1.263, 0.997, 4.954 
